size (cm),shape,weight (g),avg_price (₹),color,taste,fruit_name
10.3,oval,414.9,144.7,pink,sweet,dragon fruit
7.7,round,189.2,57.1,green,sour,guava
1.1,round,5.4,9.4,purple,sweet,grape
25.4,round,3293.3,139,green,sweet,watermelon
10.2,oval,411.4,143.6,pink,sweet,dragon fruit
10.7,oval,384.5,139.3,pink,sweet,dragon fruit
9.2,oval,240.4,125.9,yellow,sweet,mango
4.6,oval,78.7,105.6,brown,tangy,kiwi
8.4,round,291.5,84.2,green,sweet,custard apple
3.3,oval,21.1,56.2,red,sweet,strawberry
11,long,108.1,42.4,yellow,sweet,banana
11,oval,429.8,146.2,pink,sweet,dragon fruit
7.4,round,183.8,61.7,green,sour,guava
1,round,4.7,43.5,blue,sweet,blueberry
2.1,round,15,48.2,pink,sweet,lychee
9,oval,269,118.3,yellow,sweet,mango
17,round,1286,96.2,brown,sweet,coconut
8.2,oval,254,119.7,yellow,sweet,mango
3.2,oval,20.3,55.8,red,sweet,strawberry
8.4,round,279.1,92.5,green,sweet,custard apple
10.9,long,119.3,43.2,yellow,sweet,banana
1,round,5.3,39.1,blue,sweet,blueberry
15.6,oval,1144.6,94,brown,tangy,pineapple
16.3,oval,1143.7,95,brown,tangy,pineapple
16.3,round,1104.6,95.1,brown,sweet,coconut
7.5,round,281.2,89.5,green,sweet,custard apple
5.8,round,154.1,78.8,red,sweet,apple
7.6,round,321.2,93.5,green,sweet,custard apple
15.1,oval,1191.6,96.7,brown,tangy,pineapple
8,oval,170.8,64.1,green,sweet,pear
1.9,round,16,53.2,pink,sweet,lychee
3.3,oval,10.7,31.6,red,sweet,cherry
6.7,round,198.1,56.8,green,sour,guava
22.9,round,3025.7,139.9,green,sweet,watermelon
5.5,oval,50.7,21.3,orange,tangy,orange
6.8,round,260.4,112.7,red,sweet,pomegranate
14,oval,1246.1,90.6,brown,tangy,pineapple
19.2,oval,1467.6,78.9,orange,sweet,papaya
6.2,round,142,76.2,red,sweet,apple
2,round,15.1,51.4,pink,sweet,lychee
6.5,round,217.4,63.9,green,sour,guava
1,round,4.9,9.7,purple,sweet,grape
1.8,round,16.1,54.5,pink,sweet,lychee
10.9,long,112.7,36.3,yellow,sweet,banana
9.6,oval,402.4,152.1,pink,sweet,dragon fruit
1,round,5.2,9.9,purple,sweet,grape
8.7,oval,274.7,123.8,yellow,sweet,mango
7.6,round,228.1,118,red,sweet,pomegranate
21.4,oval,1564.5,82.1,orange,sweet,papaya
7,round,256.7,117.1,red,sweet,pomegranate
8.7,oval,164.3,76.5,green,sweet,pear
1,round,5.2,40.4,blue,sweet,blueberry
13.7,oval,1119.6,81.1,brown,tangy,pineapple
7.8,oval,189.3,70.8,green,sweet,pear
1,round,4.7,39.7,blue,sweet,blueberry
26.9,round,2702.3,160.6,green,sweet,watermelon
16.9,round,1302.8,99.7,brown,sweet,coconut
7.2,round,181,54.8,green,sour,guava
3.8,round,51.4,72.7,purple,tangy,plum
3.1,oval,10.3,28.5,red,sweet,cherry
1,round,5,41,blue,sweet,blueberry
7.3,round,258.1,122.2,red,sweet,pomegranate
21,oval,1568.7,86.6,orange,sweet,papaya
8.3,oval,197.1,63.6,green,sweet,pear
9.7,oval,371.6,163.7,pink,sweet,dragon fruit
21.6,oval,1406.9,84.2,orange,sweet,papaya
6.7,round,226.8,127.8,red,sweet,pomegranate
10.4,long,122.3,41.5,yellow,sweet,banana
16.5,round,1319.3,95.9,brown,sweet,coconut
13.8,oval,1135,82.8,brown,tangy,pineapple
8.4,oval,236.3,112.5,yellow,sweet,mango
1,round,5.4,9.5,purple,sweet,grape
15.6,oval,1192,89.9,brown,tangy,pineapple
25.2,round,2950.7,160.6,green,sweet,watermelon
1,round,4.9,40.9,blue,sweet,blueberry
7.1,round,211.1,56.3,green,sour,guava
7.9,round,325,81.7,green,sweet,custard apple
7.2,round,207.7,59.7,green,sour,guava
18.2,oval,1500.5,77.2,orange,sweet,papaya
8.3,oval,190.8,71.9,green,sweet,pear
14,oval,1292.8,96,brown,tangy,pineapple
18.1,round,1133,102.6,brown,sweet,coconut
6.1,round,159.5,72.6,red,sweet,apple
9.5,oval,227.9,116.1,yellow,sweet,mango
2.1,round,15.3,54.5,pink,sweet,lychee
2.1,round,13.8,45.8,pink,sweet,lychee
1,round,5.5,40.8,blue,sweet,blueberry
20.1,oval,1479,76,orange,sweet,papaya
7.6,round,280.5,83.8,green,sweet,custard apple
2.9,oval,10.3,30.8,red,sweet,cherry
18.2,oval,1356.2,75.2,orange,sweet,papaya
1.1,round,5.2,9,purple,sweet,grape
17.7,round,1116.3,97,brown,sweet,coconut
19.1,round,1130.7,100.8,brown,sweet,coconut
0.9,round,5.4,9.8,purple,sweet,grape
4.5,oval,47.6,18.7,orange,tangy,orange
2.1,round,16.1,45.6,pink,sweet,lychee
26.8,round,3151.5,139.8,green,sweet,watermelon
16.3,oval,1256.7,87.7,brown,tangy,pineapple
15.6,oval,1217.5,97.8,brown,tangy,pineapple
6.5,round,209.8,56.8,green,sour,guava
1,round,4.8,10.6,purple,sweet,grape
9.7,long,108.7,40.9,yellow,sweet,banana
3.2,oval,10.5,30,red,sweet,cherry
2.9,oval,19.2,56.9,red,sweet,strawberry
3.6,round,52.7,74.3,purple,tangy,plum
5.5,oval,80.1,101.3,brown,tangy,kiwi
21,oval,1551.1,82.5,orange,sweet,papaya
1.1,round,5.2,10.2,purple,sweet,grape
10,long,112.9,42.5,yellow,sweet,banana
9.4,oval,432.4,158.3,pink,sweet,dragon fruit
9.2,oval,254.7,110.5,yellow,sweet,mango
1,round,5.3,9.3,purple,sweet,grape
8.2,oval,195.5,71.4,green,sweet,pear
1,round,5,9.3,purple,sweet,grape
15.9,oval,1159.8,81.3,brown,tangy,pineapple
2,round,16.4,49.3,pink,sweet,lychee
7.8,round,291.7,84.3,green,sweet,custard apple
5.2,oval,53,20.2,orange,tangy,orange
8.5,round,298.8,86.1,green,sweet,custard apple
9.2,oval,265.5,129.6,yellow,sweet,mango
17.4,round,1175.6,96.3,brown,sweet,coconut
27.1,round,2909.7,161.7,green,sweet,watermelon
6.5,round,192.9,61,green,sour,guava
6.5,round,185.9,62.2,green,sour,guava
0.9,round,5.4,37.5,blue,sweet,blueberry
9.5,long,126.5,41.1,yellow,sweet,banana
5.2,oval,81.8,92.8,brown,tangy,kiwi
5.3,oval,68.6,94.3,brown,tangy,kiwi
7,round,252.7,126.3,red,sweet,pomegranate
1,round,4.5,9.8,purple,sweet,grape
4.5,oval,48.8,18.1,orange,tangy,orange
4,round,48.9,63.7,purple,tangy,plum
1.1,round,5.5,10.6,purple,sweet,grape
8.2,oval,189.3,67.6,green,sweet,pear
11,oval,439.8,152.4,pink,sweet,dragon fruit
6.5,round,145.7,85.9,red,sweet,apple
7.3,round,326,95.7,green,sweet,custard apple
6.9,round,217.8,58.2,green,sour,guava
6.2,round,163.8,85.8,red,sweet,apple
4.5,oval,52.8,20.6,orange,tangy,orange
4.8,oval,52.9,20.8,orange,tangy,orange
1,round,5.3,39.9,blue,sweet,blueberry
1,round,5.2,9.5,purple,sweet,grape
7.6,round,305.2,84.2,green,sweet,custard apple
14.1,oval,1132.3,91.7,brown,tangy,pineapple
17.8,round,1109.8,108.7,brown,sweet,coconut
7.4,oval,169.6,76.9,green,sweet,pear
2.9,oval,21.4,61.9,red,sweet,strawberry
7.7,round,215.9,63.7,green,sour,guava
18.8,round,1100.7,100.7,brown,sweet,coconut
6,round,151.1,77.5,red,sweet,apple
1,round,5.1,36.9,blue,sweet,blueberry
6.5,round,272.6,114.2,red,sweet,pomegranate
4.3,round,46.3,64.2,purple,tangy,plum
2.9,oval,20.4,62.5,red,sweet,strawberry
1.8,round,15.6,49.9,pink,sweet,lychee
3.8,round,54.1,73.6,purple,tangy,plum
3.2,oval,20.4,56,red,sweet,strawberry
9.9,long,126.2,36.5,yellow,sweet,banana
10.2,long,116.2,39.3,yellow,sweet,banana
17.3,round,1248.7,92.7,brown,sweet,coconut
2.1,round,14.6,54.1,pink,sweet,lychee
21.3,oval,1392.8,72.4,orange,sweet,papaya
10.5,oval,371.2,137.4,pink,sweet,dragon fruit
2.9,oval,18.8,58.9,red,sweet,strawberry
1.1,round,4.9,40.5,blue,sweet,blueberry
5,oval,52.6,19.1,orange,tangy,orange
20.2,oval,1639.3,84.4,orange,sweet,papaya
9.3,oval,394.5,140.2,pink,sweet,dragon fruit
1,round,5.2,42.1,blue,sweet,blueberry
2.2,round,16.2,52,pink,sweet,lychee
9.1,long,129.4,41.8,yellow,sweet,banana
2.1,round,15.3,54.4,pink,sweet,lychee
1.1,round,5.1,10.4,purple,sweet,grape
2.8,oval,21.2,59.2,red,sweet,strawberry
10.4,long,122.8,43,yellow,sweet,banana
20.4,oval,1511.2,76.4,orange,sweet,papaya
6.9,round,241.2,108.7,red,sweet,pomegranate
10.1,oval,377.9,153.1,pink,sweet,dragon fruit
7.4,round,212.5,57.1,green,sour,guava
19.1,oval,1374,72.3,orange,sweet,papaya
1.9,round,15.5,51.1,pink,sweet,lychee
1,round,4.5,38,blue,sweet,blueberry
3.3,oval,19.4,60.1,red,sweet,strawberry
4.8,oval,53.1,20.5,orange,tangy,orange
4.8,oval,76.7,94.7,brown,tangy,kiwi
2.8,oval,10,29.1,red,sweet,cherry
2.9,oval,9.5,27.3,red,sweet,cherry
1.9,round,15.9,50.4,pink,sweet,lychee
14.8,oval,1281.6,97.8,brown,tangy,pineapple
1,round,4.9,43.2,blue,sweet,blueberry
1,round,4.5,42.5,blue,sweet,blueberry
6.1,round,149.9,85.8,red,sweet,apple
5.4,round,154.5,77.8,red,sweet,apple
6.5,round,244.9,128.6,red,sweet,pomegranate
10.1,oval,428.1,150.6,pink,sweet,dragon fruit
7.7,oval,192,64.1,green,sweet,pear
9.9,oval,421,148.7,pink,sweet,dragon fruit
16.4,oval,1306.7,97.7,brown,tangy,pineapple
4.7,oval,75.9,96.7,brown,tangy,kiwi
21.2,oval,1385.3,72.1,orange,sweet,papaya
6.5,round,269.6,114,red,sweet,pomegranate
7,round,192.6,60.3,green,sour,guava
2,round,16.2,46.7,pink,sweet,lychee
6.9,round,242.6,111.5,red,sweet,pomegranate
5.2,oval,45.8,18.2,orange,tangy,orange
17.3,round,1266.5,100.6,brown,sweet,coconut
4.7,oval,74,91.6,brown,tangy,kiwi
7.2,round,215,61.2,green,sour,guava
18.1,round,1093.1,109.1,brown,sweet,coconut
18.8,round,1157.9,100.7,brown,sweet,coconut
7.6,round,235.1,112,red,sweet,pomegranate
6.3,round,141.4,77.6,red,sweet,apple
16.2,oval,1086.1,81.6,brown,tangy,pineapple
8,round,323.1,98.1,green,sweet,custard apple
2.8,oval,19.3,54.6,red,sweet,strawberry
8.6,oval,248.3,113.8,yellow,sweet,mango
2,round,14.7,52.3,pink,sweet,lychee
6.4,round,186.4,61.9,green,sour,guava
7.7,round,206.1,55.8,green,sour,guava
7.8,round,306.6,93.1,green,sweet,custard apple
7.3,round,243.4,110.2,red,sweet,pomegranate
2.8,oval,18.4,56.4,red,sweet,strawberry
1,round,4.9,38,blue,sweet,blueberry
13.9,oval,1089.9,97.2,brown,tangy,pineapple
25.8,round,2796.2,162.3,green,sweet,watermelon
7.2,round,182,55.6,green,sour,guava
23.1,round,3168.3,153.9,green,sweet,watermelon
7.5,round,212,63.2,green,sour,guava
8.7,oval,254.2,128.4,yellow,sweet,mango
24.8,round,3112.6,148.6,green,sweet,watermelon
5.3,oval,69.8,102.2,brown,tangy,kiwi
14.8,oval,1295.6,82.4,brown,tangy,pineapple
9.3,oval,241.8,112.7,yellow,sweet,mango
8.7,oval,191.2,70.5,green,sweet,pear
9.2,oval,399.5,142.1,pink,sweet,dragon fruit
25.1,round,3104.4,145.9,green,sweet,watermelon
10.3,long,109,39.6,yellow,sweet,banana
3.3,oval,19.7,63.1,red,sweet,strawberry
2.9,oval,10.7,32.3,red,sweet,cherry
8.1,round,306.4,91.4,green,sweet,custard apple
6.5,round,233.6,112.7,red,sweet,pomegranate
7.5,oval,179.8,65.6,green,sweet,pear
5.2,oval,72.1,105.5,brown,tangy,kiwi
7.7,round,325,95.8,green,sweet,custard apple
1.1,round,5.2,9.3,purple,sweet,grape
4.7,oval,72.3,109.7,brown,tangy,kiwi
8.8,oval,256.2,110.6,yellow,sweet,mango
7.3,oval,163.8,65.2,green,sweet,pear
7.4,round,201,56.3,green,sour,guava
1.1,round,5,41.5,blue,sweet,blueberry
16.7,round,1134.8,94.3,brown,sweet,coconut
14.7,oval,1097.5,93.8,brown,tangy,pineapple
4.9,oval,81.6,101.4,brown,tangy,kiwi
1.9,round,15.6,49.7,pink,sweet,lychee
7.2,round,243.5,127.2,red,sweet,pomegranate
8,oval,186.5,76.5,green,sweet,pear
20.2,oval,1526.7,79.5,orange,sweet,papaya
5.4,oval,46.9,18.4,orange,tangy,orange
3.3,oval,10.3,32.3,red,sweet,cherry
9,long,118.9,37.8,yellow,sweet,banana
1.1,round,5.5,36.2,blue,sweet,blueberry
21.1,oval,1590.8,72.6,orange,sweet,papaya
3.3,oval,10,31.7,red,sweet,cherry
7.2,round,271.5,120.5,red,sweet,pomegranate
1.9,round,14.1,54.2,pink,sweet,lychee
5.2,oval,46,18.3,orange,tangy,orange
1.1,round,5.1,10,purple,sweet,grape
7.9,oval,175.2,66.5,green,sweet,pear
18.7,round,1238.2,109.7,brown,sweet,coconut
2,round,14.5,49.7,pink,sweet,lychee
2.9,oval,19.1,63.7,red,sweet,strawberry
9.8,long,130.2,36.5,yellow,sweet,banana
10.8,oval,408.9,163.8,pink,sweet,dragon fruit
25,round,2739.7,156.7,green,sweet,watermelon
8.1,oval,256.2,115.7,yellow,sweet,mango
5.6,round,155.5,78.8,red,sweet,apple
8.9,oval,230.4,126.5,yellow,sweet,mango
6.1,round,156.5,83.6,red,sweet,apple
3,oval,9.3,31.6,red,sweet,cherry
1,round,5.3,42.8,blue,sweet,blueberry
1.9,round,13.7,51,pink,sweet,lychee
26.3,round,2768.6,154.8,green,sweet,watermelon
5.4,round,149.4,75.6,red,sweet,apple
3.1,oval,10,29.2,red,sweet,cherry
5.9,round,163.9,87.1,red,sweet,apple
3.1,oval,10.6,29.2,red,sweet,cherry
25.7,round,3278.9,153.1,green,sweet,watermelon
7,round,193,54.7,green,sour,guava
9.4,oval,228.4,111.9,yellow,sweet,mango
20.9,oval,1647.2,74.2,orange,sweet,papaya
3.2,oval,20.6,62.8,red,sweet,strawberry
3.2,oval,21.8,60.7,red,sweet,strawberry
1,round,4.8,10.2,purple,sweet,grape
14.8,oval,1165.2,91.2,brown,tangy,pineapple
4.7,oval,50.4,22,orange,tangy,orange
5,oval,80.2,96.4,brown,tangy,kiwi
6,round,159.1,82.8,red,sweet,apple
3.3,oval,10.2,30.6,red,sweet,cherry
8.2,oval,255.1,129.6,yellow,sweet,mango
10.1,oval,389.4,156.2,pink,sweet,dragon fruit
1,round,5.1,10.7,purple,sweet,grape
19.6,oval,1449.2,77.2,orange,sweet,papaya
9.5,oval,394.5,147.2,pink,sweet,dragon fruit
21,oval,1463.9,79.1,orange,sweet,papaya
6.3,round,258.1,115,red,sweet,pomegranate
4.8,oval,68.2,97.2,brown,tangy,kiwi
10.4,long,126.6,40.3,yellow,sweet,banana
15,oval,1257.4,96.2,brown,tangy,pineapple
4.9,oval,48.4,19,orange,tangy,orange
9.8,oval,267.9,125.4,yellow,sweet,mango
6.4,round,195.6,64.7,green,sour,guava
8.6,oval,260,122.2,yellow,sweet,mango
1.1,round,4.8,10,purple,sweet,grape
6.7,round,243,110.2,red,sweet,pomegranate
10.9,long,130.5,42.4,yellow,sweet,banana
13.7,oval,1209.4,82.4,brown,tangy,pineapple
1.1,round,5.2,9.1,purple,sweet,grape
10.2,oval,370.9,160.9,pink,sweet,dragon fruit
2.8,oval,20.3,62.7,red,sweet,strawberry
20.2,oval,1397.8,72.1,orange,sweet,papaya
6.8,round,244.3,130.4,red,sweet,pomegranate
7.5,round,253,122,red,sweet,pomegranate
8.1,oval,180.1,64.1,green,sweet,pear
1,round,5,43.5,blue,sweet,blueberry
3.1,oval,10.2,29.2,red,sweet,cherry
6.4,round,263.8,123.9,red,sweet,pomegranate
6.5,round,205.2,62.5,green,sour,guava
18,round,1299.5,95.4,brown,sweet,coconut
5.2,oval,54.3,19,orange,tangy,orange
9.7,oval,425.5,136.1,pink,sweet,dragon fruit
3.7,round,50.4,72.5,purple,tangy,plum
10.6,oval,420.7,159.9,pink,sweet,dragon fruit
3.2,oval,9.8,27.7,red,sweet,cherry
1.8,round,14.7,47.6,pink,sweet,lychee
2.8,oval,18,60.9,red,sweet,strawberry
20.1,oval,1539.4,79.9,orange,sweet,papaya
6.5,round,267.6,131.6,red,sweet,pomegranate
3.8,round,45.6,66.1,purple,tangy,plum
8.3,oval,167.5,76.1,green,sweet,pear
6.5,round,243.6,109.9,red,sweet,pomegranate
9.7,long,113.5,36.9,yellow,sweet,banana
1,round,5.1,10.2,purple,sweet,grape
4.1,round,51.7,70.6,purple,tangy,plum
10.2,long,108.2,38.5,yellow,sweet,banana
18.4,oval,1580,78.4,orange,sweet,papaya
2,round,14.1,53.8,pink,sweet,lychee
2,round,16,45.2,pink,sweet,lychee
1.9,round,14.1,48.1,pink,sweet,lychee
3.6,round,47.3,64.2,purple,tangy,plum
6.9,round,259.6,126.5,red,sweet,pomegranate
18.9,round,1100.9,95.5,brown,sweet,coconut
9.1,oval,239.2,117.9,yellow,sweet,mango
2.8,oval,10.4,30.7,red,sweet,cherry
18.5,round,1170.3,92.7,brown,sweet,coconut
0.9,round,4.9,10.5,purple,sweet,grape
2.1,round,14.2,45.1,pink,sweet,lychee
1,round,4.8,10.2,purple,sweet,grape
6.5,round,192.3,65.4,green,sour,guava
8.4,round,293.1,86.4,green,sweet,custard apple
16.3,round,1189.4,92.2,brown,sweet,coconut
10.1,oval,367.3,146.4,pink,sweet,dragon fruit
15,oval,1137.4,91,brown,tangy,pineapple
4.4,round,45.5,71.9,purple,tangy,plum
7.8,oval,182.6,68.6,green,sweet,pear
5.1,oval,79.6,103.3,brown,tangy,kiwi
25.4,round,3034.1,159.1,green,sweet,watermelon
5.5,oval,50.2,18.1,orange,tangy,orange
8.8,oval,228.2,120.9,yellow,sweet,mango
4.8,oval,77.9,107.7,brown,tangy,kiwi
13.8,oval,1155.8,98.8,brown,tangy,pineapple
15.3,oval,1278.1,98.6,brown,tangy,pineapple
1,round,4.9,40.9,blue,sweet,blueberry
3.1,oval,10.8,27.3,red,sweet,cherry
8.8,oval,244.5,125.9,yellow,sweet,mango
19.6,round,1100.9,91.4,brown,sweet,coconut
7.4,round,260.7,108.6,red,sweet,pomegranate
9.9,oval,418.7,138.3,pink,sweet,dragon fruit
8.7,oval,191,66.9,green,sweet,pear
8.7,round,321.9,98.7,green,sweet,custard apple
9.4,oval,434.6,144.4,pink,sweet,dragon fruit
26.7,round,3263.1,142.5,green,sweet,watermelon
2.8,oval,10.3,28.2,red,sweet,cherry
3,oval,18.2,56.1,red,sweet,strawberry
7.2,round,227,108,red,sweet,pomegranate
17.4,round,1224.4,106.5,brown,sweet,coconut
10.8,oval,409.5,144.1,pink,sweet,dragon fruit
13.8,oval,1168.9,88.1,brown,tangy,pineapple
1,round,4.5,10.7,purple,sweet,grape
7,round,271.9,130.9,red,sweet,pomegranate
10.4,oval,403.4,154.8,pink,sweet,dragon fruit
10.5,oval,421.7,154.2,pink,sweet,dragon fruit
4.3,round,48.5,66.9,purple,tangy,plum
8.3,round,287.8,95.8,green,sweet,custard apple
5.4,oval,81.3,95.3,brown,tangy,kiwi
7.2,round,242.1,110.1,red,sweet,pomegranate
7.4,oval,195.5,65.2,green,sweet,pear
10.4,long,117.4,40.8,yellow,sweet,banana
14.4,oval,1084.8,95,brown,tangy,pineapple
6.7,round,247.6,119.3,red,sweet,pomegranate
8.5,oval,197.4,65.4,green,sweet,pear
9.1,oval,429.1,152.2,pink,sweet,dragon fruit
19.2,round,1302.8,97.8,brown,sweet,coconut
5.6,round,153.6,79.1,red,sweet,apple
6.7,round,234.5,110.2,red,sweet,pomegranate
7.4,round,296,99,green,sweet,custard apple
7,round,210.1,65.5,green,sour,guava
18.5,oval,1412.9,82.1,orange,sweet,papaya
1,round,5.5,10.9,purple,sweet,grape
5.1,oval,69.5,96.6,brown,tangy,kiwi
18.4,round,1313.8,91.8,brown,sweet,coconut
5.6,round,142.9,81.9,red,sweet,apple
7.6,round,261.1,119.5,red,sweet,pomegranate
1.1,round,5.5,10.9,purple,sweet,grape
16.8,round,1104,107.9,brown,sweet,coconut
3.1,oval,18.7,63,red,sweet,strawberry
5.8,round,160.3,75,red,sweet,apple
7.9,oval,187.8,66.4,green,sweet,pear
23.5,round,3256.1,160.5,green,sweet,watermelon
4.9,oval,50.2,18.1,orange,tangy,orange
10.9,long,127.8,42.8,yellow,sweet,banana
25.1,round,3240.4,161.8,green,sweet,watermelon
3,oval,18.7,65.4,red,sweet,strawberry
8.4,oval,186.9,69.2,green,sweet,pear
7.2,round,212.6,56.7,green,sour,guava
3.2,oval,9.4,28.3,red,sweet,cherry
2.8,oval,19.2,56,red,sweet,strawberry
25.6,round,2925.7,160.8,green,sweet,watermelon
15.7,oval,1202,96,brown,tangy,pineapple
3.3,oval,9.9,32.9,red,sweet,cherry
8.1,round,293.1,81.2,green,sweet,custard apple
4.7,oval,48.5,18,orange,tangy,orange
4,round,53.7,65.6,purple,tangy,plum
2,round,16.1,54.9,pink,sweet,lychee
5.1,oval,71.4,102.3,brown,tangy,kiwi
5.3,oval,45.6,19.1,orange,tangy,orange
10.8,long,115.6,42,yellow,sweet,banana
6.9,round,239.6,114.7,red,sweet,pomegranate
10.8,oval,392.8,149.1,pink,sweet,dragon fruit
1.8,round,16,45.9,pink,sweet,lychee
3.9,round,54.9,76.1,purple,tangy,plum
3.3,oval,19.5,59,red,sweet,strawberry
19,oval,1407.1,80.3,orange,sweet,papaya
19.1,oval,1589,85,orange,sweet,papaya
20.4,oval,1585.9,74,orange,sweet,papaya
7.6,round,193.3,64.9,green,sour,guava
4.1,round,50.5,72.3,purple,tangy,plum
15.7,oval,1181.5,93.2,brown,tangy,pineapple
9,oval,225.8,127.4,yellow,sweet,mango
1.8,round,14.2,54.6,pink,sweet,lychee
7.9,oval,183.6,67.1,green,sweet,pear
19.4,round,1249.8,92.8,brown,sweet,coconut
6.3,round,210.3,60.3,green,sour,guava
7.9,oval,173.7,66.1,green,sweet,pear
27.1,round,2938.9,140,green,sweet,watermelon
17.2,round,1198,97.3,brown,sweet,coconut
9.9,oval,404.8,160.8,pink,sweet,dragon fruit
22.9,round,3078.9,151.2,green,sweet,watermelon
1.9,round,13.5,46.3,pink,sweet,lychee
9.3,long,124.7,40,yellow,sweet,banana
4.8,oval,75.1,107.3,brown,tangy,kiwi
1,round,4.8,37.7,blue,sweet,blueberry
7.2,round,253.8,110.1,red,sweet,pomegranate
1,round,5.3,9.4,purple,sweet,grape
6.4,round,262.2,122.6,red,sweet,pomegranate
7.7,round,194.1,55.3,green,sour,guava
18.9,round,1145,105.2,brown,sweet,coconut
23.7,round,3123.2,146.6,green,sweet,watermelon
9.3,oval,419.8,158.1,pink,sweet,dragon fruit
8.3,oval,187.3,69.7,green,sweet,pear
16.8,round,1238,91.4,brown,sweet,coconut
24.2,round,2765.8,147.3,green,sweet,watermelon
9.2,long,110.2,40.3,yellow,sweet,banana
7.9,oval,192.2,65.5,green,sweet,pear
7.3,oval,187.2,63.9,green,sweet,pear
11,long,126.4,36.8,yellow,sweet,banana
5.3,oval,48.3,20.5,orange,tangy,orange
10.5,long,122.9,41.8,yellow,sweet,banana
3,oval,9,31.3,red,sweet,cherry
6.7,round,184.8,59.4,green,sour,guava
13.6,oval,1220.3,97.4,brown,tangy,pineapple
8.3,oval,187,70.2,green,sweet,pear
1.1,round,5.4,9.1,purple,sweet,grape
5.1,oval,51.5,20.4,orange,tangy,orange
6.5,round,137.2,82.9,red,sweet,apple
2.9,oval,18.4,60.8,red,sweet,strawberry
7.6,round,195.7,63.3,green,sour,guava
8.1,round,306.4,88.2,green,sweet,custard apple
3.1,oval,19.7,64.6,red,sweet,strawberry
10.5,long,108.8,37.1,yellow,sweet,banana
0.9,round,5.3,9.9,purple,sweet,grape
2.1,round,14.6,51.4,pink,sweet,lychee
9.3,long,129.6,40,yellow,sweet,banana
9.7,long,117.2,41.7,yellow,sweet,banana
2.7,oval,9.4,29.9,red,sweet,cherry
9.2,long,120.8,41.6,yellow,sweet,banana
5,oval,68,103.2,brown,tangy,kiwi
5.2,oval,72.2,90.5,brown,tangy,kiwi
4.2,round,52.9,64,purple,tangy,plum
4.9,oval,77.4,100.3,brown,tangy,kiwi
7.5,round,274.2,121.5,red,sweet,pomegranate
2,round,14.5,45.8,pink,sweet,lychee
26.7,round,2878.7,157.4,green,sweet,watermelon
9.2,oval,436.5,152.3,pink,sweet,dragon fruit
3,oval,18.8,55.1,red,sweet,strawberry
1.1,round,4.8,38.4,blue,sweet,blueberry
4.9,oval,76.4,94.1,brown,tangy,kiwi
7.1,round,256.5,114.2,red,sweet,pomegranate
6.5,round,262.2,128.5,red,sweet,pomegranate
26.2,round,2960.5,151.8,green,sweet,watermelon
10.5,long,130.6,41.8,yellow,sweet,banana
7,round,215.6,60.1,green,sour,guava
4.8,oval,78.1,94.4,brown,tangy,kiwi
20.4,oval,1448,74.8,orange,sweet,papaya
0.9,round,5,9.5,purple,sweet,grape
18.7,round,1260.7,94,brown,sweet,coconut
17.8,round,1250.5,98,brown,sweet,coconut
5.9,round,147.2,76.7,red,sweet,apple
8.8,round,290,86.3,green,sweet,custard apple
20.3,oval,1609.7,82.3,orange,sweet,papaya
4.1,round,52.5,76.9,purple,tangy,plum
26.7,round,2887.3,137,green,sweet,watermelon
16,oval,1267.4,89.4,brown,tangy,pineapple
16.9,round,1178,92.2,brown,sweet,coconut
4.1,round,52.8,64.2,purple,tangy,plum
7.6,oval,187.8,72.8,green,sweet,pear
2.9,oval,21.8,63.1,red,sweet,strawberry
7.1,round,203.7,64.1,green,sour,guava
6.5,round,151.8,84.8,red,sweet,apple
3.1,oval,10.4,30.5,red,sweet,cherry
8.7,round,290.7,96.4,green,sweet,custard apple
1.8,round,15.1,45.1,pink,sweet,lychee
3.1,oval,21.6,55,red,sweet,strawberry
1.1,round,5.3,10.4,purple,sweet,grape
3.1,oval,21.3,54.2,red,sweet,strawberry
18,oval,1601.6,83.1,orange,sweet,papaya
8.7,round,298.5,96.2,green,sweet,custard apple
5.7,round,135.5,86.9,red,sweet,apple
6.8,round,211.3,58.6,green,sour,guava
17.5,round,1163,108.9,brown,sweet,coconut
4.2,round,51.2,72.7,purple,tangy,plum
3.8,round,48.3,76.8,purple,tangy,plum
10.2,oval,382.9,160,pink,sweet,dragon fruit
2.2,round,14.8,47.7,pink,sweet,lychee
6.4,round,249.8,118.5,red,sweet,pomegranate
10.4,long,122.2,39.9,yellow,sweet,banana
6.8,round,230.8,121.8,red,sweet,pomegranate
8.5,round,315.7,90.7,green,sweet,custard apple
7.9,round,300.3,91.7,green,sweet,custard apple
6.4,round,225.5,110.6,red,sweet,pomegranate
18.5,round,1236.2,108.7,brown,sweet,coconut
22.9,round,2761.1,147.5,green,sweet,watermelon
3,oval,10.7,31.9,red,sweet,cherry
7.4,round,261.8,108,red,sweet,pomegranate
17,round,1107.1,94.5,brown,sweet,coconut
15,oval,1100.1,97,brown,tangy,pineapple
9.6,oval,260.5,109.8,yellow,sweet,mango
6.6,round,233.7,117.3,red,sweet,pomegranate
6.7,round,274.1,128.2,red,sweet,pomegranate
8.8,oval,232.4,126.3,yellow,sweet,mango
13.6,oval,1106.7,84.5,brown,tangy,pineapple
